subject,session,path,status,plan_a,dur_min,n_units,evr_pc1,run_src,has_running,r_simple,lag_simple,p_simple,r_partial,p_partial,lag_partial,r_run_pc1,p_run_pc1,r_run_pupil,p_run_pupil,dec_r_glm,dec_tau_glm,dec_r_gru,dec_tau_gru,dec_r_run_glm,dec_r_glm_partial
732548371,751348571.nwb,sub-732548371/sub-732548371_ses-751348571.nwb,ok,True,20.617499736769865,50,0.12065595196786189,processing:running/running_speed,True,0.28177063810642866,0.65,0.4027986006996502,0.32997523286833225,0.3758120939530235,-2.45,0.1848398612776859,0.0069965017491254375,0.31995574448538733,0.004997501249375313,0.3999367467941371,-0.75,0.3498751390248733,0.0,0.044103826721924366,0.3757081301062704
733457986,757216464.nwb,sub-733457986/sub-733457986_ses-757216464.nwb,ok,True,20.617504635278628,88,0.0801320705250251,processing:running/running_speed,True,0.43490786279023336,1.2000000000000002,0.03798100949525238,0.3483924883147856,0.08345827086456771,0.55,0.19965874552028248,0.12043978010994502,0.5508598359348819,0.004997501249375313,0.25972302171747985,-0.5,0.3178663620585673,-0.75,0.20319066977282652,0.1895067951649461
734865729,756029989.nwb,sub-734865729/sub-734865729_ses-756029989.nwb,ok,True,20.61779136068051,52,0.1260749031447173,processing:running/running_speed,True,0.7087389757528268,0.7000000000000001,0.004497751124437781,0.6965944761404339,0.005497251374312844,0.0,0.28758398081080616,0.004997501249375313,0.5793165959959936,0.004997501249375313,0.37627662811747936,-1.0,0.2110060732828051,-0.5,0.2898551066879124,0.2408545868952299
735109599,758798717.nwb,sub-735109599/sub-735109599_ses-758798717.nwb,ok,True,20.617506236015412,47,0.1396295197591527,processing:running/running_speed,True,0.20675172863332605,1.2000000000000002,0.10994502748625687,0.20000817132544904,0.1904047976011994,1.05,0.044423458533812736,0.3803098450774613,0.5203471493722044,0.004997501249375313,0.19815930766175882,-0.25,0.1485516494102623,-0.75,0.3226167006420955,0.07248582928487822
738651046,760693773.nwb,sub-738651046/sub-738651046_ses-760693773.nwb,ok,True,20.61750190919173,92,0.07783259039824365,processing:running/running_speed,True,0.28502521922634066,-0.1,0.20689655172413793,0.07136284080918519,0.792103948025987,-1.0,0.758041428946706,0.004997501249375313,0.4027630515603045,0.004997501249375313,0.3120478470335523,-0.25,0.2864100962578408,-0.5,0.5206703107373524,0.18247899340744259
739783158,760345702.nwb,sub-739783158/sub-739783158_ses-760345702.nwb,ok,True,20.61750353079783,77,0.1197395257397112,processing:running/running_speed,True,0.7182465156523578,0.8,0.00399800099950025,0.46910380233625826,0.005497251374312844,0.0,0.6546744911855388,0.02798600699650175,0.6871086808172276,0.004997501249375313,0.09923057080402968,0.25,0.17728025866613137,1.0,-0.1060079366020867,0.26826298115545905
740268983,759883607.nwb,sub-740268983/sub-740268983_ses-759883607.nwb,ok,True,20.617501011810916,67,0.11456895429665925,processing:running/running_speed,True,0.6427729048478753,3.0,0.09745127436281859,0.37790804794461386,0.005497251374312844,0.0,0.6018504933695343,0.06946526736631684,0.6890639474962099,0.004997501249375313,-0.15742630455525333,-0.25,0.07333873490964084,1.0,0.1996236565536252,0.4065955835231902
742602884,763673393.nwb,sub-742602884/sub-742602884_ses-763673393.nwb,ok,True,21.117924101564014,74,0.08467427069403378,processing:running/running_speed,True,0.6936853697589334,0.8500000000000001,0.00399800099950025,0.5448907482810345,0.004497751124437781,0.9500000000000001,0.33144840535496656,0.004997501249375313,0.3678916420690659,0.00399800099950025,0.3812953903708,-1.25,0.38424270841370767,-0.25,0.21840393141069284,0.24990934336932014
742714472,761418226.nwb,sub-742714472/sub-742714472_ses-761418226.nwb,ok,True,21.11792177385872,38,0.1636689779450859,processing:running/running_speed,True,0.8384536082450009,0.5,0.004997501249375313,0.7047062408471878,0.004997501249375313,0.0,0.7357803948428999,0.004997501249375313,0.6811916912337352,0.00399800099950025,0.052598575323603264,0.0,0.04986171426479136,-0.75,0.2630156521994158,0.13924401334344982
744915196,762602078.nwb,sub-744915196/sub-744915196_ses-762602078.nwb,ok,True,21.11792258495193,80,0.12198329830037011,processing:running/running_speed,True,0.6437574468473249,0.45,0.004997501249375313,0.3752554883683258,0.004997501249375313,0.0,0.512492580637744,0.004997501249375313,0.5763318376679998,0.004997501249375313,0.05261450693917941,-0.25,0.0886741073402381,-0.5,0.1393429972809713,0.19578178707577956
745276220,762120172.nwb,sub-745276220/sub-745276220_ses-762120172.nwb,ok,True,21.11792301497428,89,0.07777769048202932,processing:running/running_speed,True,0.5672524463403054,-2.0,0.010494752623688156,0.5132130669089713,0.004997501249375313,0.0,0.3434098382280609,0.035982008995502246,0.6695208961160097,0.004997501249375313,0.24764666138101718,-0.25,0.23953344325739037,-0.5,0.09920466959935786,0.4094087490252221
757329617,773418906.nwb,sub-757329617/sub-757329617_ses-773418906.nwb,ok,True,20.61750535476253,41,0.16637881482221678,processing:running/running_speed,True,0.5349211785363451,1.0,0.004497751124437781,0.31453277639058663,0.005497251374312844,0.0,0.38918321023991104,0.004997501249375313,0.4501117617351379,0.005497251374312844,0.28169791030241625,-0.25,0.3145795922002937,-0.5,0.03308170585540377,0.3612230849409384
769360771,791319847.nwb,sub-769360771/sub-769360771_ses-791319847.nwb,ok,True,21.11792904995021,97,0.09781997005299692,processing:running/running_speed,True,0.4004583620018596,0.8,0.00399800099950025,0.08515017846855137,0.47426286856571714,0.0,0.5724775844756687,0.004997501249375313,0.5310073023145201,0.004997501249375313,0.30112962394161974,-0.25,0.32634933786018,-0.5,0.29218110863967817,0.2279087981636285
772616820,799864342.nwb,sub-772616820/sub-772616820_ses-799864342.nwb,ok,True,21.11821049555656,76,0.06847641100542662,processing:running/running_speed,True,0.14352936794459448,-0.9500000000000001,0.12993503248375812,0.17646729976068667,0.03648175912043978,-1.1500000000000001,0.07820432513975724,0.00399800099950025,0.3091833846602153,0.004497751124437781,0.25467533032375367,-1.25,0.33993908898301345,-0.75,0.224348111274954,0.21682211139536492
775876808,798911424.nwb,sub-775876808/sub-775876808_ses-798911424.nwb,ok,True,21.11792476867036,96,0.09658628976486293,processing:running/running_speed,True,0.5788639140493484,-0.6000000000000001,0.004997501249375313,0.5627375417703333,0.004997501249375313,-0.45,0.15135844451383632,0.1679160419790105,0.36899475751303956,0.005497251374312844,0.36647197221952527,-2.0,0.36963696442189936,-0.75,0.27598481298651256,0.32236299425079196
776061236,797828357.nwb,sub-776061236/sub-776061236_ses-797828357.nwb,ok,True,21.1179272002482,87,0.1165763883811154,processing:running/running_speed,True,0.2774471618024985,-3.0,0.2813593203398301,0.2755811878523574,0.25237381309345325,-3.0,0.051936708191531324,0.44427786106946526,0.2117616738770057,0.00399800099950025,0.2080727284120325,-1.25,0.10989144426681156,0.75,0.21398509276251945,0.09058929306906377
